name,gender,count
Kaya,f,60
Kayden,m,3007
Kayla,f,4660
Kaylani,f,88
Kaylee,f,3809
Kayleen,f,317
Kayleigh,f,60
Kaylie,f,313
Kaylin,f,366
Kayson,m,10
Kazi,m,10
Kehlani,f,82
Keila,f,60
Keily,f,185
Keira,f,527
Keith,m,132
Kelly,f,1093
Kelsey,f,451
Kelvin,m,414
Kendra,f,253
Kendrick,m,234
Kennedi,f,10
Kennedy,f,737
Kenneth,m,1262
Kenny,m,448
Kenya,f,60
Kenzie,f,10
Kenzo,m,46
Kevin,m,7877
Keyla,f,401
Khadija,f,131
Khadijah,f,114
Khaleesi,f,45
Khalil,m,375
Khari,m,11
Khloe,f,2745
Kian,m,46
Kiara,f,1352
Kiera,f,13
Kieran,m,414
Kimberly,f,2480
Kimi,m,263
Kimora,f,506
King,m,1795
Kingsley,m,729
Kingston,m,208
Kira,f,396
Kiyan,m,162
Kori,f,32
Kourtney,f,72
Krish,m,104
Kristen,f,60
Kristian,m,162
Kristina,f,10
Krystal,f,78
Kyla,f,328
Kyle,m,3114
Kylee,f,288
Kylie,f,2509
Kymani,m,246
Kyree,m,10
Kyrie,m,577
Kyro,m,11
Kyson,m,44
Laia,f,10
Laila,f,2154
Lailah,f,60
Laith,m,82
Lamar,m,90
Lana,f,233
Landon,m,1149
Lara,f,426
Larry,m,60
Laura,f,776
Lauren,f,2170
Lauryn,f,81
Lawrence,m,463
Layan,f,207
Layla,f,3662
Lazer,m,572
Lea,f,781
Leah,f,10406
Leandro,m,401
Leanna,f,74
Leela,f,154
Legend,m,142
Leia,f,76
Leibish,m,82
Leila,f,1481
Leilani,f,1205
Leilany,f,11
Lena,f,724
Lennox,m,10
Lenny,m,225
Leo,m,4970
Leon,m,1611
Leona,f,72
Leonard,m,116
Leonardo,m,2716
Leonel,m,247
Leonidas,m,100
Leora,f,308
Lesley,f,132
Leslie,f,1234
Lesly,f,424
Lev,m,359
Levi,m,2248
Leyla,f,305
Lia,f,1346
Liah,f,13
Liam,m,14075
Lian,m,60
Liana,f,841
Lianna,f,10
Liba,f,512
Libby,f,811
Lielle,f,31
Lila,f,1166
Lilah,f,271
Lilia,f,11
Lilian,f,70
Liliana,f,1397
Lillian,f,1781
Lilliana,f,10
Lilly,f,392
Lily,f,3674
Lina,f,461
Lincoln,m,246
Linda,f,222
Lindsay,f,172
Lionel,m,10
Liora,f,12
Lipa,m,884
Lisa,f,76
Litzy,f,316
Liv,f,366
Livia,f,396
Liyana,f,10
Liz,f,60
Lizbeth,f,653
Lizeth,f,10
Logan,f,105
Logan,m,6462
Lola,f,709
London,f,2797
Londyn,f,675
Lorenzo,m,1204
Louis,m,1511
Louisa,f,332
Louise,f,157
Luca,m,2912
Lucas,m,11986
Lucia,f,1261
Lucian,m,12
Luciana,f,261
Lucien,m,168
Lucille,f,95
Lucy,f,1555
Luis,m,3087
Luka,m,639
Lukas,m,942
Luke,m,4094
Luna,f,1847
Luz,f,366
Lyanna,f,10
Lydia,f,405
Lyla,f,539
Lyric,f,426
Mabel,f,25
Mackenzie,f,1236
Maddox,m,80
Madeleine,f,1006
Madeline,f,2033
Madelyn,f,1117
Madina,f,22
Madison,f,9387
Madisyn,f,166
Mae,f,207
Maeve,f,688
Magaly,f,66
Maggie,f,388
Mahamadou,m,70
Mahnoor,f,34
Maia,f,290
Maimouna,f,20
Maisie,f,105
Maison,m,164
Maite,f,60
Major,m,229
Makai,m,144
Makayla,f,1951
Makenzie,f,66
Makhi,m,66
Maksim,m,126
Malachi,m,1495
Malak,f,474
Malaysia,f,112
Malcolm,m,157
Malek,m,32
Malia,f,750
Maliha,f,21
Malik,m,789
Malika,f,56
Maliyah,f,443
Malka,f,2041
Malky,f,1916
Mamadou,m,788
Mandy,f,228
Manha,f,261
Manuel,m,865
Marc,m,466
Marcel,m,95
Marcelo,m,86
Marco,m,1200
Marcos,m,579
Marcus,m,2362
Margaret,f,838
Margaux,f,110
Margot,f,430
Maria,f,2761
Mariah,f,1117
Mariam,f,1688
Mariama,f,569
Mariana,f,422
Marie,f,10
Marielle,f,66
Marilyn,f,324
Marina,f,73
Mario,m,494
Marisol,f,60
Marjorie,f,191
Mark,m,2055
Marley,f,36
Marlon,m,263
Marlowe,f,20
Marquis,m,60
Martin,m,1385
Marvin,m,314
Mary,f,609
Maryam,f,1042
Mason,m,11871
Massimo,m,72
Mateo,m,2640
Mathew,m,505
Mathias,m,378
Matias,m,794
Matilda,f,460
Matteo,m,1255
Matthew,m,15285
Matthias,m,34
Maurice,m,161
Mauricio,m,220
Maverick,m,22
Max,m,4434
Maxim,m,682
Maximilian,m,977
Maximiliano,m,421
Maximo,m,132
Maximus,m,991
Maxwell,m,2190
Maya,f,5922
Mayar,f,11
Mayer,m,707
Mayson,m,66
Mckenzie,f,722
Md,m,128
Mechel,m,25
Meera,f,12
Megan,f,745
Meghan,f,24
Meilech,m,252
Meir,m,1502
Meira,f,11
Mekhi,m,635
Melania,f,11
Melanie,f,3533
Melany,f,764
Melina,f,313
Melissa,f,1261
Melody,f,1547
Melvin,m,328
Menachem,m,2551
Menashe,m,159
Mendel,m,1163
Mendy,m,484
Menucha,f,78
