,name,count
1187,Dale,29757
1188,Camp,29753
1189,Connolly,29710
1190,Hewitt,29694
1191,Cramer,29691
1192,Goldberg,29603
1193,Morin,29593
1194,Sutherland,29585
1195,Kaplan,29582
1196,Mcallister,29544
1197,Byrne,29503
1198,Osorio,29482
1199,Cash,29476
1200,Haines,29462
1201,Meeks,29457
1202,Wynn,29417
1203,Gilliam,29414
1204,Vigil,29382
1205,Hickey,29350
1206,Connor,29346
1207,Pate,29327
1208,Zepeda,29252
1209,Hatcher,29235
1210,Escobedo,29185
1211,Arredondo,29173
1212,Hyde,29094
1213,Christopher,29067
1214,Mobley,29065
1215,Kessler,29064
1216,Britton,29040
1217,Ritchie,29040
1218,Romano,29018
1219,Oneil,28949
1220,Tyson,28947
1221,Bui,28919
1222,Hilton,28918
1223,Caballero,28903
1224,Downing,28880
1225,Sharpe,28879
1226,Guy,28852
1227,Holcomb,28852
1228,Rankin,28821
1229,Godfrey,28734
1230,Chamberlain,28727
1231,Fink,28701
1232,Hollis,28617
1233,Foreman,28605
1234,Carranza,28581
1235,Sharma,28559
1236,Kern,28547
1237,Chu,28508
1238,Knowles,28460
1239,Ma,28452
1240,Madison,28411
1241,Childs,28359
1242,Belcher,28321
1243,Wills,28219
1244,Womack,28201
1245,Dye,28182
1246,Arthur,28102
1247,Grace,28098
1248,Baca,28082
1249,Rutherford,28079
1250,Sorensen,28069
1251,Mccray,28024
1252,Hastings,28015
1253,Pierson,27983
1254,Chacon,27982
1255,Renteria,27976
1256,Mohamed,27972
1257,Nicholas,27922
1258,Kendrick,27915
1259,Ferreira,27898
1260,Lockhart,27883
1261,Boggs,27880
1262,Pryor,27805
1263,Doherty,27787
1264,Sargent,27786
1265,Kenney,27759
1266,Tuttle,27751
1267,Denton,27742
1268,Magee,27720
1269,Jamison,27697
1270,Lyon,27690
1271,Locke,27643
1272,Puckett,27627
1273,Coronado,27626
1274,Olvera,27551
1275,Sykes,27546
1276,Manuel,27529
1277,Burks,27523
1278,Chin,27487
1279,Quiroz,27452
1280,Hopper,27353
1281,Mcgill,27330
1282,Dolan,27329
1283,Mckenna,27293
1284,Head,27292
1285,Montano,27276
1286,Paredes,27274
1287,Delatorre,27265
1288,Langley,27252
1289,Sinclair,27243
1290,Dwyer,27240
1291,Shirley,27224
1292,Muller,27216
1293,Courtney,27205
1294,Slaughter,27155
1295,Polk,27094
1296,Lemus,27079
1297,Covington,27068
1298,Madrigal,27033
1299,Clemons,27022
1300,Rosado,26998
1301,Broussard,26971
1302,Mcginnis,26953
1303,Hatch,26903
1304,Sheehan,26902
1305,Rutledge,26887
1306,Corbin,26876
1307,Dempsey,26863
1308,Garland,26779
1309,Carmona,26774
1310,Bowling,26762
1311,Burris,26760
1312,Whitley,26732
1313,Hamm,26726
1314,Bland,26722
1315,Bermudez,26691
1316,Stinson,26681
1317,Pike,26655
1318,Orellana,26651
1319,Downey,26627
1320,Varela,26621
1321,Harden,26617
1322,Couch,26615
1323,Dickinson,26607
1324,Cassidy,26590
1325,Rucker,26581
1326,Gabriel,26578
1327,Herron,26559
1328,Mcnamara,26534
1329,Rouse,26519
1330,Burt,26475
1331,Battle,26432
1332,Gustafson,26421
1333,Herbert,26417
1334,Dunbar,26405
1335,Webber,26405
1336,Boyce,26376
1337,Dewitt,26348
1338,Rosenberg,26307
1339,Simms,26287
1340,Woodruff,26286
1341,Brandon,26284
1342,Romo,26283
1343,Hutchins,26251
1344,Kirkpatrick,26251
1345,Corbett,26246
1346,Granados,26187
1347,Rossi,26183
1348,Goss,26179
1349,Lott,26174
1350,Leyva,26153
1351,Hinojosa,26146
1352,Gil,26112
1353,Crabtree,26104
1354,Grady,26103
1355,Mcclellan,26060
1356,Kumar,25986
1357,Fraser,25961
1358,Rico,25954
1359,Bingham,25941
1360,Soriano,25916
1361,Sterling,25894
1362,Fonseca,25863
1363,Madrid,25854
1364,Emery,25839
1365,Singer,25828
1366,Aragon,25801
1367,Aquino,25783
1368,Elmore,25774
1369,Worley,25758
1370,Simons,25755
1371,Quezada,25752
1372,Ott,25738
1373,Ocampo,25720
1374,Aviles,25716
1375,Nieto,25701
1376,Ervin,25698
1377,Gore,25648
1378,Shafer,25641
1379,Weston,25637
1380,Xu,25622
1381,Plummer,25596
1382,Michel,25578
1383,Paz,25574
1384,Yanez,25563
